,ICC,Lower,Higher
original_shape_Elongation,0.9469995952085043,0.9426524851405484,0.9510255131962059
original_shape_Flatness,0.9640098233236482,0.9610236012740376,0.9667707156107002
original_shape_LeastAxisLength,0.994813057278146,0.9943762472334444,0.9952160198495856
original_shape_MajorAxisLength,0.9968355811128812,0.9965688396036257,0.9970816182642043
original_shape_Maximum2DDiameterColumn,0.9914155631115985,0.9906940332518187,0.9920813750357397
original_shape_Maximum2DDiameterRow,0.9880993740884421,0.9871007669900208,0.9890210935474214
original_shape_Maximum2DDiameterSlice,0.995453090986671,0.9950700739015201,0.995806414256184
original_shape_Maximum3DDiameter,0.9972754324692186,0.9970456884152794,0.9974873329253697
original_shape_MeshVolume,0.9992126538171103,0.9991461921961523,0.9992739438657678
original_shape_MinorAxisLength,0.9946830781422371,0.9942353714897217,0.99509609978442
original_shape_Sphericity,0.9942238036969516,0.9937375772655702,0.9946723819878249
original_shape_SurfaceArea,0.9991565630248306,0.9990853742506961,0.9992222134455865
original_shape_SurfaceVolumeRatio,0.9885992398924729,0.9876425094047573,0.9894822978243781
original_shape_VoxelVolume,0.9992114804416645,0.9991449197131268,0.9992728618776313
original_firstorder_10Percentile_32_binCount,0.9695463533266142,0.9670172410117913,0.9718843220414556
original_firstorder_90Percentile_32_binCount,0.9167755081736237,0.9100641079431683,0.923006313905958
original_firstorder_Energy_32_binCount,0.9975721363112254,0.9973673865110626,0.9977609803449161
original_firstorder_Entropy_32_binCount,0.7282914998824215,0.7086907714073797,0.7467690251281708
original_firstorder_InterquartileRange_32_binCount,0.9187742610585139,0.9122163920467303,0.9248615061545307
original_firstorder_Kurtosis_32_binCount,0.46185780571919144,0.4293736443019285,0.493148115204665
original_firstorder_Maximum_32_binCount,0.6590663713017361,0.635523163351499,0.681385163856637
original_firstorder_MeanAbsoluteDeviation_32_binCount,0.8472667270329431,0.8354298829846549,0.8583179124022514
original_firstorder_Mean_32_binCount,0.9617693426096432,0.9586079960439388,0.9646936155636984
original_firstorder_Median_32_binCount,0.9789754895246638,0.9772203956333563,0.9805966978442727
original_firstorder_Minimum_32_binCount,0.7966233169873694,0.7813266583458434,0.8109635211686153
original_firstorder_Range_32_binCount,0.7007703545636274,0.6795511756148912,0.720818126332091
original_firstorder_RobustMeanAbsoluteDeviation_32_binCount,0.9123925439247168,0.9053449995270261,0.9189377303053888
original_firstorder_RootMeanSquared_32_binCount,0.9286130200362617,0.9228174919527264,0.9339883336965413
original_firstorder_Skewness_32_binCount,0.4725376867937931,0.44045235755255663,0.503417174710621
original_firstorder_TotalEnergy_32_binCount,0.9975721363112254,0.9973673865110626,0.9977609803449161
original_firstorder_Uniformity_32_binCount,0.7038072557657983,0.6827640317522773,0.7236839849149952
original_firstorder_Variance_32_binCount,0.552688719623827,0.5239026855709511,0.5802134802455894
original_glcm_Autocorrelation_32_binCount,0.5224808837482265,0.49239568358901303,0.5513194615557246
original_glcm_ClusterProminence_32_binCount,0.5950940690359733,0.5682844899458808,0.620641716870401
