Training perturbation,Test-retest,Diff,Diff > 0
0.944896419,0.696326837,0.248569582,1
0.963560794,0.864078428,0.099482366,1
0.994761559,0.856896865,0.137864694,1
0.996834962,0.867569963,0.129264999,1
0.99081284,0.831507546,0.159305294,1
0.988398107,0.855382961,0.133015146,1
0.995455691,0.898600252,0.096855439,1
0.997111488,0.91845843,0.078653058,1
0.999223172,0.955144198,0.044078974,1
0.994544444,0.744150635,0.250393809,1
0.993948353,0.779231198,0.214717155,1
0.999242754,0.949029054,0.0502137,1
0.988068735,0.793741798,0.194326937,1
0.999223464,0.955318904,0.04390456,1
0.969165439,0.244630685,0.724534754,1
0.911778282,0.951566204,-0.039787922,0
0.997876398,0.995985629,0.001890769,1
0.731646707,0.597379916,0.134266791,1
0.914768279,0.512833862,0.401934417,1
0.46542304,0.708286889,-0.242863849,0
0.66680739,0.708396365,-0.041588975,0
0.844955559,0.656947394,0.188008165,1
0.96070493,0.898742085,0.061962845,1
0.978595659,0.958005184,0.020590475,1
0.802917012,0.642095341,0.160821671,1
0.708610091,0.724181653,-0.015571562,0
0.906307822,0.480241933,0.426065889,1
0.929807075,0.941012212,-0.011205137,0
0.486162781,0.576077288,-0.089914507,0
0.997876398,0.995985629,0.001890769,1
0.705248669,0.632578902,0.072669767,1
0.59175446,0.737637847,-0.145883387,0
0.531179956,0.436433991,0.094745965,1
0.597537114,0.352866733,0.244670381,1
0.524558356,0.421444965,0.103113391,1
0.714105903,0.427445361,0.286660542,1
0.758295879,0.650262031,0.108033848,1
0.686453092,0.574638342,0.11181475,1
0.775703813,0.62995599,0.145747823,1
0.764667912,0.601015088,0.163652824,1
0.75244616,0.65815083,0.09429533,1
0.77122841,0.636097212,0.135131198,1
0.770278286,0.630150567,0.140127719,1
0.759920118,0.644913831,0.115006287,1
0.775989583,0.627442095,0.148547488,1
0.813518654,0.601157136,0.212361518,1
0.738553644,0.672040865,0.066512779,1
0.610664043,0.399071484,0.211592559,1
0.510853449,0.455724574,0.055128875,1
0.681969789,0.60422196,0.077747829,1
0.725993542,0.583023433,0.142970109,1
0.522656316,0.591488078,-0.068831762,0
0.695795669,0.646054798,0.049740871,1
0.510853449,0.455724574,0.055128875,1
0.7210345,0.586840646,0.134193854,1
0.723627235,0.456378088,0.267249147,1
0.997091836,0.941479882,0.055611954,1
0.70014132,0.61698109,0.08316023,1
0.737260927,0.488778902,0.248482025,1
0.531155511,0.4428938,0.088261711,1
0.792650376,0.678576188,0.114074188,1
0.496578089,0.286394239,0.21018385,1
0.496105566,0.610019446,-0.11391388,0
0.273895801,0.323225383,-0.049329582,0
0.63322566,0.354899965,0.278325695,1
0.956251426,0.740041314,0.216210112,1
0.807367067,0.684994369,0.122372698,1
0.813350886,0.702657382,0.110693504,1
0.787197214,0.673677412,0.113519802,1
0.801082185,0.677027326,0.124054859,1
0.564333617,0.483416673,0.080916944,1
0.284178432,0.243783207,0.040395225,1
0.948535084,0.627630856,0.320904228,1
0.612793096,0.509049621,0.103743475,1
0.639846908,0.395904668,0.24394224,1
0.496637992,0.379338202,0.11729979,1
0.963883631,0.703369349,0.260514282,1
0.976051965,0.866229867,0.109822098,1
0.905882329,0.601852536,0.304029793,1
0.333928878,0.410522344,-0.076593466,0
0.76665288,0.437395338,0.329257542,1
0.66116673,0.52776072,0.13340601,1
0.633053185,0.503448569,0.129604616,1
0.531539435,0.422848251,0.108691184,1
0.372785558,0.477321483,-0.104535925,0
0.7678118,0.513584485,0.254227315,1
0.83277631,0.699774878,0.133001432,1
0.963979381,0.704921737,0.259057644,1
0.72473495,0.47449459,0.25024036,1
0.991949634,0.851852922,0.140096712,1
0.819627963,0.685811689,0.133816274,1
0.786028104,0.749089864,0.03693824,1
0.990967454,0.904671479,0.086295975,1
0.739502753,0.491097698,0.248405055,1
0.536095502,0.445955992,0.09013951,1
0.807079188,0.704848292,0.102230896,1
0.637832913,0.507049364,0.130783549,1
0.432792353,0.63159593,-0.198803577,0
0.268227897,0.316839579,-0.048611682,0
0.814403346,0.689826794,0.124576552,1
0.723680674,0.678721881,0.044958793,1
0.706627345,0.508323995,0.19830335,1
0.970810053,0.862072666,0.108737387,1
0.96843254,0.850596185,0.117836355,1
0.629103282,0.458522849,0.170580433,1
0.783778527,0.662330735,0.121447792,1
0.841854938,0.72868543,0.113169508,1
0.775571404,0.777908432,-0.002337028,0
0.924173173,0.58601205,0.338161123,1
0.971184943,0.586409123,0.38477582,1
0.777040984,0.520299204,0.25674178,1
0.938487455,0.55900173,0.379485725,1
0.4828332,0.357305751,0.125527449,1
0.832168854,0.730825024,0.10134383,1
0.881114768,0.704790074,0.176324694,1
0.847833161,0.87412633,-0.026293169,0
0.910334001,0.840612975,0.069721026,1
0.629300733,0.67635791,-0.047057177,0
0.731467299,0.731386976,8.03E-05,1
0.934669422,0.571642812,0.36302661,1
0.793788056,0.78645634,0.007331716,1
0.316116235,0.215548037,0.100568198,1
0.971184943,0.586409123,0.38477582,1
0.764536172,0.56519841,0.199337762,1
0.64013385,0.711071546,-0.070937696,0
0.342758495,0.146183745,0.19657475,1
0.63941208,0.418879331,0.220532749,1
0.36290411,0.452863886,-0.089959776,0
0.739647468,0.457797885,0.281849583,1
0.761166088,0.487653268,0.27351282,1
0.582684328,0.478485684,0.104198644,1
0.785744935,0.515979668,0.269765267,1
0.78280127,0.518617573,0.264183697,1
0.754733052,0.508670144,0.246062908,1
0.793057873,0.556266699,0.236791174,1
0.790937828,0.55030862,0.240629208,1
0.763792987,0.486946051,0.276846936,1
0.787319929,0.519696803,0.267623126,1
0.82680955,0.575591075,0.251218475,1
0.860524581,0.66692955,0.193595031,1
0.619176457,0.307505312,0.311671145,1
0.351831135,0.168194829,0.183636306,1
0.730222122,0.598002753,0.132219369,1
0.767030272,0.510229846,0.256800426,1
0.453103778,0.398471301,0.054632477,1
0.739247283,0.574365134,0.164882149,1
0.351831135,0.168194829,0.183636306,1
0.771347401,0.517879332,0.253468069,1
0.748050468,0.465851619,0.282198849,1
0.991823309,0.935593,0.056230309,1
0.758500076,0.520785488,0.237714588,1
0.762488492,0.477918289,0.284570203,1
0.344146155,0.146103808,0.198042347,1
0.801536492,0.689882619,0.111653873,1
0.657083682,0.537540709,0.119542973,1
0.445865569,0.285000186,0.160865383,1
0.400407357,0.252093455,0.148313902,1
0.644417291,0.248454299,0.395962992,1
0.955218603,0.736839232,0.218379371,1
0.824517939,0.623883301,0.200634638,1
0.831585301,0.646020011,0.18556529,1
0.773829493,0.712374998,0.061454495,1
0.822501782,0.624978474,0.197523308,1
0.365306825,0.118521304,0.246785521,1
0.454913994,0.28139461,0.173519384,1
0.95252701,0.725155658,0.227371352,1
0.642014513,0.279129726,0.362884787,1
0.691442165,0.41385005,0.277592115,1
0.351551585,0.140782206,0.210769379,1
0.967124048,0.692357854,0.274766194,1
0.945956663,0.597279191,0.348677472,1
0.96319231,0.672632623,0.290559687,1
0.459999378,0.276722066,0.183277312,1
0.745813631,0.41171106,0.334102571,1
0.691871909,0.4360096,0.255862309,1
0.661772453,0.395944424,0.265828029,1
0.384814363,0.139208778,0.245605585,1
0.524372507,0.377284433,0.147088074,1
0.791361202,0.633536402,0.1578248,1
0.835563244,0.559929605,0.275633639,1
0.96717128,0.693620392,0.273550888,1
0.716550166,0.333250506,0.38329966,1
0.978768666,0.812193358,0.166575308,1
0.822171084,0.580605576,0.241565508,1
0.805908036,0.669978072,0.135929964,1
0.986621767,0.88462249,0.101999277,1
0.764283971,0.483161768,0.281122203,1
0.342855998,0.144256481,0.198599517,1
0.827478832,0.65718798,0.170290852,1
0.654320663,0.528668089,0.125652574,1
0.435529225,0.385668646,0.049860579,1
0.396755976,0.253234319,0.143521657,1
0.822200012,0.559901309,0.262298703,1
0.808528771,0.455510068,0.353018703,1
0.698079627,0.600966826,0.097112801,1
0.972031161,0.89357181,0.078459351,1
0.971067235,0.826713302,0.144353933,1
0.646744073,0.3656056,0.281138473,1
0.805514013,0.488747012,0.316767001,1
0.875451774,0.737473989,0.137977785,1
0.786085336,0.870872449,-0.084787113,0
0.962238224,0.846889023,0.115349201,1
0.988664803,0.702271201,0.286393602,1
0.797657062,0.644784334,0.152872728,1
0.896445761,0.546396929,0.350048832,1
0.511816953,0.400548671,0.111268282,1
0.917410282,0.789702929,0.127707353,1
0.877550355,0.703707385,0.17384297,1
0.914292598,0.943540385,-0.029247787,0
0.939927848,0.926976725,0.012951123,1
0.670647858,0.679648494,-0.009000636,0
0.782293437,0.769393317,0.01290012,1
0.898863339,0.558575272,0.340288067,1
0.906208888,0.854365407,0.051843481,1
0.391668396,0.264051199,0.127617197,1
0.988664803,0.702271201,0.286393602,1
0.79123305,0.655537108,0.135695942,1
0.712456621,0.781368127,-0.068911506,0
0.429633838,0.096311942,0.333321896,1
0.667229389,0.404894284,0.262335105,1
0.598409262,0.47984086,0.118568402,1
0.741191044,0.56065824,0.180532804,1
0.802231831,0.698771997,0.103459834,1
0.610734088,0.411406853,0.199327235,1
0.828536166,0.703347453,0.125188713,1
0.82812068,0.673363702,0.154756978,1
0.801128819,0.691191178,0.109937641,1
0.838505929,0.706641882,0.131864047,1
0.836902786,0.703621048,0.133281738,1
0.805237999,0.696928556,0.108309443,1
0.830749696,0.703188367,0.127561329,1
0.796389811,0.552302415,0.244087396,1
0.737846061,0.434007792,0.303838269,1
0.721075368,0.556636086,0.164439282,1
0.422766131,0.112106164,0.310659967,1
0.768390248,0.663406679,0.104983569,1
0.793241573,0.638490597,0.154750976,1
0.432191348,0.066172733,0.366018615,1
0.784941115,0.685968742,0.098972373,1
0.422766131,0.112106164,0.310659967,1
0.785089552,0.626721939,0.158367613,1
0.754138085,0.580586647,0.173551438,1
0.99770878,0.95373958,0.0439692,1
0.788771274,0.624619142,0.164152132,1
0.774149972,0.634116669,0.140033303,1
0.423098966,0.098830427,0.324268539,1
0.827227337,0.741229415,0.085997922,1
0.642862189,0.509350067,0.133512122,1
0.424026308,0.242381696,0.181644612,1
0.507308121,0.34879176,0.158516361,1
0.635611186,0.362488865,0.273122321,1
0.970493966,0.726386679,0.244107287,1
0.865695614,0.740288809,0.125406805,1
0.872937905,0.749565565,0.12337234,1
0.821267549,0.759096309,0.06217124,1
0.861030513,0.727072677,0.133957836,1
0.491522807,0.121137935,0.370384872,1
0.563525237,0.381055675,0.182469562,1
0.959344647,0.710811086,0.248533561,1
0.663238399,0.354765256,0.308473143,1
0.672488841,0.421824902,0.250663939,1
0.391409855,0.059185882,0.332223973,1
0.924233296,0.746154201,0.178079095,1
0.872606926,0.637363801,0.235243125,1
0.957121462,0.791317054,0.165804408,1
0.554128369,0.192542275,0.361586094,1
0.790037706,0.340427538,0.449610168,1
0.713908241,0.472990737,0.240917504,1
0.683452715,0.448498206,0.234954509,1
0.493733646,0.143515282,0.350218364,1
0.474004963,0.133629438,0.340375525,1
0.836235878,0.760015621,0.076220257,1
0.875950733,0.709944428,0.166006305,1
0.924344148,0.748076049,0.176268099,1
0.817614019,0.509421379,0.30819264,1
0.994592389,0.790019982,0.204572407,1
0.858775104,0.74551064,0.113264464,1
0.863199258,0.78787309,0.075326168,1
0.984292614,0.89257687,0.091715744,1
0.775921284,0.638858863,0.137062421,1
0.426985646,0.097622981,0.329362665,1
0.865934442,0.741999535,0.123934907,1
0.690400204,0.539747389,0.150652815,1
0.392280837,0.390188427,0.00209241,1
0.49692581,0.354450427,0.142475383,1
0.863946345,0.714958857,0.148987488,1
0.897685331,0.744064872,0.153620459,1
0.727048362,0.444482283,0.282566079,1
0.993543432,0.95585699,0.037686442,1
0.964398397,0.825455065,0.138943332,1
0.729958393,0.544732163,0.18522623,1
0.806445086,0.697990977,0.108454109,1
0.8898524,0.744463473,0.145388927,1
0.845254887,0.895303912,-0.050049025,0
0.976318476,0.921501571,0.054816905,1
0.994135668,0.800588586,0.193547082,1
0.828354855,0.661762671,0.166592184,1
0.883096406,0.526041622,0.357054784,1
0.615136435,0.535269531,0.079866904,1
0.950334862,0.81314066,0.137194202,1
0.875702013,0.706259834,0.169442179,1
0.952701557,0.9543686,-0.001667043,0
0.965478728,0.944263838,0.02121489,1
0.760968699,0.827835015,-0.066866316,0
0.848584616,0.865277529,-0.016692913,0
0.883803024,0.54563226,0.338170764,1
0.957188867,0.895335384,0.061853483,1
0.507492465,0.46969138,0.037801085,1
0.994135668,0.800588586,0.193547082,1
0.835187997,0.670679272,0.164508725,1
0.801354956,0.822804993,-0.021450037,0
0.580582728,0.408422239,0.172160489,1
0.755399374,0.409790736,0.345608638,1
0.710754943,0.374435007,0.336319936,1
0.791934493,0.512303968,0.279630525,1
0.83430788,0.708087395,0.126220485,1
0.682830281,0.482318426,0.200511855,1
0.865028474,0.738309865,0.126718609,1
0.856211057,0.740594308,0.115616749,1
0.806776888,0.717322387,0.089454501,1
0.879445105,0.768316467,0.111128638,1
0.877275581,0.764433841,0.11284174,1
0.838009675,0.707956528,0.130053147,1
0.867833473,0.741236314,0.126597159,1
0.794063807,0.628249086,0.165814721,1
0.727456467,0.387977774,0.339478693,1
0.807470047,0.526115275,0.281354772,1
0.574369888,0.386895308,0.18747458,1
0.840253638,0.61732674,0.222926898,1
0.819160202,0.685879068,0.133281134,1
0.480327357,0.400269154,0.080058203,1
0.827484975,0.678853021,0.148631954,1
0.574369888,0.386895308,0.18747458,1
0.811795284,0.638860794,0.17293449,1
0.800827043,0.528924058,0.271902985,1
0.997632341,0.962490796,0.035141545,1
0.832606237,0.679712432,0.152893805,1
0.818988469,0.563035121,0.255953348,1
0.566221765,0.404345575,0.16187619,1
0.902608452,0.752532801,0.150075651,1
0.772901508,0.653772814,0.119128694,1
0.63994542,0.38760882,0.2523366,1
0.660909283,0.457879617,0.203029666,1
0.692160598,0.21593253,0.476228068,1
0.976794479,0.714834078,0.261960401,1
0.903270828,0.813552172,0.089718656,1
0.912531383,0.830443546,0.082087837,1
0.906359666,0.750183837,0.156175829,1
0.904853325,0.807969538,0.096883787,1
0.602076962,0.343839878,0.258237084,1
0.686774969,0.472530621,0.214244348,1
0.963722337,0.676155363,0.287566974,1
0.70162438,0.430821358,0.270803022,1
0.721992669,0.468795815,0.253196854,1
0.519468026,0.326408082,0.193059944,1
0.918911379,0.829215855,0.089695524,1
0.874734878,0.787680667,0.087054211,1
0.955551163,0.877180952,0.078370211,1
0.59470342,0.472748154,0.121955266,1
0.812708125,0.262475,0.550233125,1
0.675464207,0.509855936,0.165608271,1
0.63633013,0.466732958,0.169597172,1
0.565394308,0.4416284,0.123765908,1
0.4374951,0.432833179,0.004661921,1
0.878378024,0.754487971,0.123890053,1
0.906433387,0.770325617,0.13610777,1
0.919014387,0.828052027,0.09096236,1
0.903173041,0.655363518,0.247809523,1
0.996815432,0.856669598,0.140145834,1
0.895350327,0.778855297,0.11649503,1
0.899404022,0.841457945,0.057946077,1
0.985709852,0.890065174,0.095644678,1
0.822066951,0.576480104,0.245586847,1
0.573400562,0.404141304,0.169259258,1
0.913085943,0.820768634,0.092317309,1
0.795181508,0.715115315,0.080066193,1
0.834148443,0.506032611,0.328115832,1
0.654341002,0.464311573,0.190029429,1
0.890310674,0.76764726,0.122663414,1
0.912639352,0.816233274,0.096406078,1
0.760410188,0.576414213,0.183995975,1
0.995093675,0.944562495,0.05053118,1
0.968370934,0.773378422,0.194992512,1
0.796793294,0.6592667,0.137526594,1
0.855307959,0.700405011,0.154902948,1
0.910080153,0.70252147,0.207558683,1
0.885240161,0.899264369,-0.014024208,0
0.985558172,0.936661003,0.048897169,1
0.996340514,0.830631753,0.165708761,1
0.856011002,0.660660092,0.19535091,1
0.885763333,0.550338281,0.335425052,1
0.773131716,0.523683156,0.24944856,1
