,R,p
perturbation_icc0_Training,0.24448447365583376,0.007894419185243893
perturbation_icc0_Testing,0.2527137938100403,0.031000564930921508
perturbation_icc0_Test-retest,0.23168926770510534,0.051878743527414097
perturbation_icc0.5_Training,0.4547745128537931,2.591145197073758e-07
perturbation_icc0.5_Testing,0.5311111211355147,1.3374676929484696e-06
perturbation_icc0.5_Test-retest,0.16207215457383492,0.176903440238742
perturbation_icc0.75_Training,0.4084657009408346,4.834388688456352e-06
perturbation_icc0.75_Testing,0.5115727716127887,3.7373207531427225e-06
perturbation_icc0.75_Test-retest,0.14809433960250723,0.21775303235163723
perturbation_icc0.9_Training,0.27694917345581505,0.002503984468051943
perturbation_icc0.9_Testing,0.2676067439861825,0.022085894395509297
perturbation_icc0.9_Test-retest,-0.01357859084975201,0.9105145644801277
perturbation_icc0.95_Training,0.18973870895308695,0.04046656261544887
perturbation_icc0.95_Testing,0.24309320767771714,0.03823394200251652
perturbation_icc0.95_Test-retest,-0.27221035972709273,0.021645916315402348
test_retest_icc0_Training,0.24421490381407354,0.007965441381362418
test_retest_icc0_Testing,0.2539886412492448,0.030134537365094523
test_retest_icc0_Test-retest,0.23619593615190349,0.04736170550066119
test_retest_icc0.5_Training,0.5554327637491213,8.052011558289443e-11
test_retest_icc0.5_Testing,0.486956136947467,1.2500700742413645e-05
test_retest_icc0.5_Test-retest,0.12104919062249012,0.3146187622428388
test_retest_icc0.75_Training,0.5776317236605487,9.213897445940462e-12
test_retest_icc0.75_Testing,0.4037175141799848,0.00039731912095574106
test_retest_icc0.75_Test-retest,0.20335923927190006,0.0889535427611913
test_retest_icc0.9_Training,0.2389792855768055,0.00946140471628853
test_retest_icc0.9_Testing,0.32304627318904294,0.005309476417673473
test_retest_icc0.9_Test-retest,-0.2612383980980194,0.027769478264063296
test_retest_icc0.95_Training,-0.2614919259872468,0.004401905285999088
test_retest_icc0.95_Testing,-0.11008319734168209,0.3538541592456586
test_retest_icc0.95_Test-retest,-0.11837676073960941,0.32550018907857914
